field	changed_cells
ags	0
election_year	0
election_date	0
state	0
eligible_voters	185
number_voters	183
valid_votes	59
invalid_votes	183
turnout	185
flag_briefwahl_only	5
flag_naive_turnout_above_1	15
flag_no_valid_votes	0
50plus	0
a_r_g_kardel	0
aar	0
ab	0
ab_2000	0
abg	0
ad_demokraten	0
add	0
adm	0
adpm	0
afb	0
afd	0
afp	0
afw	0
agfg	0
agp	0
al	0
alfa	0
alp	0
apd	0
appd	0
arminius_bund	0
asg	0
aub_branden_burg	0
aud	0
auf	0
aufbruch	0
automobile_steuerzahler_partei_asp	0
avip	0
avp	0
b	0
b90	0
b90_gr	0
bayernpartei_bp	0
bbw	0
bdd	0
bdk	0
bdv	0
bfb	0
bfb_die_offensive	0
bgd	0
bge	0
bhe	0
big	0
big_hamburg	0
bildet_berlin	0
bildung	0
biw	0
blaue_teampetry	0
blaue_teampetry_thueringen	0
bmv	0
bp	0
brb	0
bsa	0
bsp_berlin	0
bsu	0
bsw	0
bue_mi	0
bue90_gruene	0
buendnis_21_rrp	0
buendnis_90	0
buendnis_dkp_kpd	0
buendnis_fuer_m_v	0
buendnis_grundeinkommen	0
buendnis_offensive_fuer_sachsen_anhalt	0
buendnis21	0
buerger_block_e_v_bb	0
buerger_wehrt_euch	0
buergeraktion_unabh_kandidaten_z_aufstellung_v_unabh_direktkandidaten	0
buergerbund	0
buergerpartei	0
buergerrechtspartei_fuer_mehr_freiheit_und_demokratie_die_freiheit	0
bueso	0
bumv	0
bund_freier_buerger_offensive_fuer_deutschland_die_freiheitlichen	0
bundnis_c	0
bundnis_deutschland	0
bunte	0
bunte_liste	0
bve	0
bwk	0
cats	0
cdu	69
chr_l	0
christliche_liga_die_partei_fuer_das_leben_liga	0
cm	0
cpd	0
csab	0
csp	0
csu	0
da	0
dap	0
dava_hamburg	0
dbd	0
dbu	0
ddd	0
ddp	0
de	0
deutsche_konservative	0
deutsche_liga	0
deutschland	0
dfd	0
dfp	0
dfu	0
dg	0
dg_oder_dvp	0
dgg	0
dgl	0
dhp	0
dib	0
die_6_partei_jugend_frauenliste_6_partei	0
die_direkte	0
die_einheit	0
die_frauen	0
die_freiheit	0
die_friesen	0
die_heimat_heimat	0
die_humanisten	0
die_konservatlven	0
die_neue_mitte	0
die_partei	0
die_rechte	0
die_republikaner_rep	0
die_urbane_eine_hiphop_partei	0
die_volks_initiative	0
diebasis	0
diewahl_wfg	0
dja	0
dkp	45
dl	0
dlw	0
dm	0
dmp	0
dp	0
dpd	0
dpp	0
dr_stock	0
drp	0
ds	0
dsp	0
dsu	0
du	0
dvp	0
dvu	0
eap	0
efp	0
eine_fuer_alle_partei	0
einzelbewerber	0
einzelbewerber_1	0
einzelbewerber_2	0
einzelbewerber_innen	0
elc	0
eltern	0
ep	0
europaeische_partei_liebe	0
f_nep	0
fabu	0
fag_hessen	0
familie	0
fap	0
fbi_fwg	0
fbm	0
fdp	72
fdvp	0
forum	0
fp	0
fp_deutschlands	0
fpa	0
fpdeutsch_land	0
fr_waehler	0
franken	0
frauen	0
frauenliste_bayern_e_v	0
freie_buerger_union_fbu	0
freie_opposition	0
freie_sachsen	0
freie_union	0
freie_wahler	0
freier_horizont	0
freiewaehler	0
frieden	0
fsp	0
fsu	8
fuer_kinder	0
future	0
g	0
gartenpartei	0
gaz	0
gb_bhe	0
gdp	0
gdpbhe	0
gesundheitsforschung	0
gfa	0
glh	0
glu	0
glueckliche_zukunft	0
gpdbhe	0
graue	0
grue_nf	0
gruene	0
gut	0
gvp	0
hb_u_lvp	0
hhbl	0
hl_berlin	0
hla	0
hp	0
humanistische_partei_hp	0
humanwirtschaft	0
iii_weg	0
ja	0
jed	0
johann_dolny	0
junge_buerger_im_landtag	0
karl_faist_parteilos	0
kbw	0
klimaliste	0
klimaliste_berlin	0
klimaliste_bw	0
klimaliste_waehlerl	0
klimalistebw	0
kpd	0
kpd_ml	0
kpd_rz	0
krpd_rz	0
kusch	0
landeswaehlergruppe_der_franken_freie_franken	0
ld	0
ldp	0
liberale	0
liga	0
linke_pds	0
liste_d	0
lkr	0
lobbyisten_fuer_kinder	0
lupe	0
lvp	0
menschliche_welt	0
mera25	0
mg	0
mieterpartei	0
mlpd	0
mud	0
muendige_buerger	0
mustafa	0
mut	0
natur	0
naturgesetz	0
ndp_drp	0
neo	0
neue_demokraten	0
neue_demokratie	0
nichtwaehler	0
nl	0
no	0
norddt	0
npd	45
odad	0
odp	0
oeko	0
oekoli	0
offensive	0
offensive_d	0
olivia_jones_de	0
opde	0
opdm	0
pan	0
partei_der_vernunft	0
partei_deutscher_demokraten_pdd	0
partei_freie_waehler	0
partei_fuer_franken_die_franken	0
parteilose	0
parteilose_wg_brd	0
pass	0
patrioten	0
pbc	0
pdf	0
pdh	0
pdr	0
piraten	0
ploh	0
plus	0
pop	0
pro_deutschland	0
pro_dm	0
pro_dm_schill	0
psg	0
r_b_p	0
rap	0
regenbogen	0
rentner	0
rep	0
rsb	0
rsf	0
rwvp	0
schill	0
schoener_leben	0
senioren	0
sgp	0
shb	0
slp	0
slu_das_spektrum	0
sonst	0
soswasserturm_de	0
sp	0
spass	0
spasspartei	0
spb	0
spd	76
spv	0
srp	0
ssw	0
st_pauli	0
staedtenot	0
statt_partei	0
svp	0
team_todenhofer	0
tier_schutz_partei	0
tierschutz	0
tierschutz_hier	0
tierschutzallianz	0
uap	7
ub	0
udp	0
ufb	0
unabhaengige	0
unabhangige	0
ungueltig	0
uspd	0
v_p_m_v	0
v_partei3	0
verjuengungsforschung	0
vfs	0
vibt	0
violetten	0
volksabstimmung	0
volt	0
volt_hamburg	0
vsp	0
w_i_r	0
w2020	0
wahlergemeinschaft	0
wasg	0
wbk	0
werteunion	0
wgh	0
wib	0
wir2020	0
z	0
z_sh	0
zentrum	19
other	42
cdu_csu	69
