election_year	check	lfd_nr	field	observed	expected	difference
1966	ballot_identity	1	number_voters	347196	347196	0
1966	party_identity	1	valid_votes	343491	343491	0
1966	ballot_identity	2	number_voters	242027	242027	0
1966	party_identity	2	valid_votes	240247	240247	0
1966	ballot_identity	3	number_voters	379879	379879	0
1966	party_identity	3	valid_votes	377313	377313	0
1966	ballot_identity	4	number_voters	114086	114086	0
1966	party_identity	4	valid_votes	112899	112899	0
1966	ballot_identity	5	number_voters	49580	49580	0
1966	party_identity	5	valid_votes	49104	49104	0
1966	ballot_identity	6	number_voters	75531	75531	0
1966	party_identity	6	valid_votes	74637	74637	0
1966	ballot_identity	7	number_voters	102700	102700	0
1966	party_identity	7	valid_votes	101778	101778	0
1966	ballot_identity	8	number_voters	53102	53102	0
1966	party_identity	8	valid_votes	52534	52534	0
1966	ballot_identity	9	number_voters	131998	131998	0
1966	party_identity	9	valid_votes	131031	131031	0
1966	ballot_identity	10	number_voters	63898	63898	0
1966	party_identity	10	valid_votes	63291	63291	0
1966	ballot_identity	11	number_voters	48818	48818	0
1966	party_identity	11	valid_votes	48231	48231	0
1966	ballot_identity	12	number_voters	91454	91454	0
1966	party_identity	12	valid_votes	90454	90454	0
1966	ballot_identity	13	number_voters	22969	22969	0
1966	party_identity	13	valid_votes	22556	22556	0
1966	ballot_identity	14	number_voters	213948	213948	0
1966	party_identity	14	valid_votes	212270	212270	0
1966	ballot_identity	15	number_voters	64920	64920	0
1966	party_identity	15	valid_votes	64341	64341	0
1966	ballot_identity	16	number_voters	181710	181710	0
1966	party_identity	16	valid_votes	179705	179705	0
1966	ballot_identity	17	number_voters	45767	45767	0
1966	party_identity	17	valid_votes	45027	45027	0
1966	ballot_identity	18	number_voters	101734	101734	0
1966	party_identity	18	valid_votes	100282	100282	0
1966	ballot_identity	19	number_voters	116800	116800	0
1966	party_identity	19	valid_votes	114869	114869	0
1966	ballot_identity	20	number_voters	53176	53176	0
1966	party_identity	20	valid_votes	52333	52333	0
1966	ballot_identity	21	number_voters	171708	171708	0
1966	party_identity	21	valid_votes	169815	169815	0
1966	ballot_identity	22	number_voters	57007	57007	0
1966	party_identity	22	valid_votes	56357	56357	0
1966	ballot_identity	23	number_voters	107848	107848	0
1966	party_identity	23	valid_votes	106494	106494	0
1966	ballot_identity	24	number_voters	2837856	2837856	0
1966	party_identity	24	valid_votes	2809059	2809059	0
1966	ballot_identity	25	number_voters	60271	60271	0
1966	party_identity	25	valid_votes	59589	59589	0
1966	ballot_identity	26	number_voters	390616	390616	0
1966	party_identity	26	valid_votes	387380	387380	0
1966	ballot_identity	27	number_voters	59070	59070	0
1966	party_identity	27	valid_votes	58150	58150	0
1966	ballot_identity	28	number_voters	108171	108171	0
1966	party_identity	28	valid_votes	106387	106387	0
1966	ballot_identity	29	number_voters	57386	57386	0
1966	party_identity	29	valid_votes	56196	56196	0
1966	ballot_identity	30	number_voters	115474	115474	0
1966	party_identity	30	valid_votes	114082	114082	0
1966	ballot_identity	31	number_voters	72865	72865	0
1966	party_identity	31	valid_votes	71943	71943	0
1966	ballot_identity	32	number_voters	120889	120889	0
1966	party_identity	32	valid_votes	119232	119232	0
1966	ballot_identity	33	number_voters	132601	132601	0
1966	party_identity	33	valid_votes	130705	130705	0
1966	ballot_identity	34	number_voters	1117343	1117343	0
1966	party_identity	34	valid_votes	1103664	1103664	0
1966	ballot_identity	35	number_voters	84507	84507	0
1966	party_identity	35	valid_votes	83606	83606	0
1966	ballot_identity	36	number_voters	145367	145367	0
1966	party_identity	36	valid_votes	143081	143081	0
1966	ballot_identity	37	number_voters	76774	76774	0
1966	party_identity	37	valid_votes	75512	75512	0
1966	ballot_identity	38	number_voters	47746	47746	0
1966	party_identity	38	valid_votes	46778	46778	0
1966	ballot_identity	39	number_voters	41554	41554	0
1966	party_identity	39	valid_votes	40747	40747	0
1966	ballot_identity	40	number_voters	16649	16649	0
1966	party_identity	40	valid_votes	16295	16295	0
1966	ballot_identity	41	number_voters	34474	34474	0
