election_year	lfd_nr	name	type	region	source_pdf	pdf_left	pdf_right	printed_left	printed_right	source_row	eligible_voters	number_voters	invalid_votes	valid_votes	cdu	spd	fdp	zentrum	uap	fsu	dkp	npd
1966	1	Düsseldorf	krfr	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	485697	347196	3705	343491	137682	176326	29483	0	0	0	0	0
1966	2	Duisburg	krfr	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	335984	242027	1780	240247	77795	147324	13694	0	1434	0	0	0
1966	3	Essen	krfr	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	515930	379879	2566	377313	138372	215988	22324	0	629	0	0	0
1966	4	Krefeld	krfr	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	156599	114086	1187	112899	48909	54478	9512	0	0	0	0	0
1966	5	Leverkusen	krfr	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	68902	49580	476	49104	19322	26290	3492	0	0	0	0	0
1966	6	Mönchengladbach	krfr	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	104803	75531	894	74637	42249	28069	4319	0	0	0	0	0
1966	7	Mülheim a.d. Ruhr	krfr	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	136819	102700	922	101778	31797	59931	9134	0	0	916	0	0
1966	8	Neuss	krfr	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	70421	53102	568	52534	26607	22222	3705	0	0	0	0	0
1966	9	Oberhausen	krfr	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	173591	131998	967	131031	48166	76535	6330	0	0	0	0	0
1966	10	Remscheid	krfr	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	91943	63898	607	63291	22627	33899	6193	0	0	572	0	0
1966	11	Rheydt	krfr	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	68172	48818	587	48231	22623	21223	4385	0	0	0	0	0
1966	12	Solingen	krfr	Düsseldorf	Nordrhein-Westfalen_1966_Landtagswahl.pdf	26	27	24	25	a	126515	91454	1000	90454	30927	47132	11450	0	0	945	0	0
