ags	source_page	source_row	field	value	ocr	pdf_text	method
01001000	18	1	eligible_voters	67205	67205	67205	ocr_candidates_and_row_identities
01001000	18	1	without_certificate	60821	60821	60821	ocr_candidates_and_row_identities
01001000	18	1	with_certificate	6384	6384	6384	ocr_candidates_and_row_identities
01001000	18	1	number_voters	49407	49407	~9407	ocr_candidates_and_row_identities
01001000	18	1	invalid_votes	101	101	101	ocr_candidates_and_row_identities
01001000	19	1	valid_votes	49306	49306	49306	ocr_candidates_and_row_identities
01001000	19	1	cdu	18226	18226	18226	ocr_candidates_and_row_identities
01001000	19	1	spd	20918	20918	20918	ocr_candidates_and_row_identities
01001000	19	1	fdp	723	723	723	ocr_candidates_and_row_identities
01001000	19	1	ssw	7893	7893	7893	ocr_candidates_and_row_identities
01001000	19	1	dkp	42	42	42	ocr_candidates_and_row_identities
01001000	19	1	dgl	154	154	154	ocr_candidates_and_row_identities
01001000	19	1	gruene	1338	1338	1338	ocr_candidates_and_row_identities
01001000	19	1	fp	0	-		ocr_candidates_and_row_identities
01001000	19	1	fsu	0	-		ocr_candidates_and_row_identities
01001000	19	1	einzelbewerber_llsh	12	"""42"	. 12	ocr_candidates_and_row_identities
01002000	18	2	eligible_voters	182285	182285	182285	ocr_candidates_and_row_identities
01002000	18	2	without_certificate	163946	163946	163946	ocr_candidates_and_row_identities
01002000	18	2	with_certificate	18339	18339	18339	ocr_candidates_and_row_identities
01002000	18	2	number_voters	135071	135071	135071	ocr_candidates_and_row_identities
01002000	18	2	invalid_votes	300	300	300	ocr_candidates_and_row_identities
01002000	19	2	valid_votes	134771	134771	134771	ocr_candidates_and_row_identities
01002000	19	2	cdu	53979	53979	53979	ocr_candidates_and_row_identities
01002000	19	2	spd	72707	72707	72707	ocr_candidates_and_row_identities
01002000	19	2	fdp	2752	2752	2752	ocr_candidates_and_row_identities
01002000	19	2	ssw	154	154	154	ocr_candidates_and_row_identities
01002000	19	2	dkp	212	212	212	ocr_candidates_and_row_identities
01002000	19	2	dgl	0	-		ocr_candidates_and_row_identities
01002000	19	2	gruene	4837	4837	4837	ocr_candidates_and_row_identities
01002000	19	2	fp	71	71	71	ocr_candidates_and_row_identities
01002000	19	2	fsu	8	8	8	ocr_candidates_and_row_identities
01002000	19	2	einzelbewerber_llsh	51	51	51	ocr_candidates_and_row_identities
01003000	18	3	eligible_voters	170851	170851	170851	ocr_candidates_and_row_identities
01003000	18	3	without_certificate	154329	154329	154329	ocr_candidates_and_row_identities
01003000	18	3	with_certificate	16522	16522	16522	ocr_candidates_and_row_identities
01003000	18	3	number_voters	125963	125963	125963	ocr_candidates_and_row_identities
01003000	18	3	invalid_votes	381	381	381	ocr_candidates_and_row_identities
01003000	19	3	valid_votes	125582	425582	125582	ocr_candidates_and_row_identities
01003000	19	3	cdu	54497	54497	54497	ocr_candidates_and_row_identities
01003000	19	3	spd	65319	65319	65319	ocr_candidates_and_row_identities
01003000	19	3	fdp	1950	1950	1950	ocr_candidates_and_row_identities
01003000	19	3	ssw	0	-		ocr_candidates_and_row_identities
01003000	19	3	dkp	180	180	180	ocr_candidates_and_row_identities
01003000	19	3	dgl	63	63	63	ocr_candidates_and_row_identities
01003000	19	3	gruene	3455	3455	3455	ocr_candidates_and_row_identities
01003000	19	3	fp	88	88	88	ocr_candidates_and_row_identities
01003000	19	3	fsu	0	-		ocr_candidates_and_row_identities
01003000	19	3	einzelbewerber_llsh	30	30	30	ocr_candidates_and_row_identities
01004000	18	4	eligible_voters	63110	63110	63110	ocr_candidates_and_row_identities
01004000	18	4	without_certificate	57629	57629	57629	ocr_candidates_and_row_identities
01004000	18	4	with_certificate	5481	5481	5481	ocr_candidates_and_row_identities
01004000	18	4	number_voters	46804	462804	46804	ocr_candidates_and_row_identities
01004000	18	4	invalid_votes	133	133	133	ocr_candidates_and_row_identities
01004000	19	4	valid_votes	46671	46671	46671	ocr_candidates_and_row_identities
01004000	19	4	cdu	20801	20801	20801	ocr_candidates_and_row_identities
01004000	19	4	spd	23612	23612	23612	ocr_candidates_and_row_identities
01004000	19	4	fdp	644	644	644	ocr_candidates_and_row_identities
01004000	19	4	ssw	0	-		ocr_candidates_and_row_identities
01004000	19	4	dkp	63	63	63	ocr_candidates_and_row_identities
01004000	19	4	dgl	0	-		ocr_candidates_and_row_identities
01004000	19	4	gruene	1507	1507	1507	ocr_candidates_and_row_identities
01004000	19	4	fp	31	31	31	ocr_candidates_and_row_identities
01004000	19	4	fsu	0	-		ocr_candidates_and_row_identities
