ags	source_page	source_row	field	printed_percentage	method
01001000	18	1	without_certificate	90.5	ocr
01001000	18	1	with_certificate	9.5	ocr
01001000	18	1	number_voters	73.5	ocr
01001000	18	1	invalid_votes	0.2	ocr
01001000	19	1	cdu	37.0	ocr
01001000	19	1	fdp	1.5	ocr
01001000	19	1	ssw	16.0	ocr
01001000	19	1	dkp	0.1	ocr
01001000	19	1	dgl	0.3	ocr
01001000	19	1	gruene	2.7	ocr
01002000	18	2	without_certificate	89.9	ocr
01002000	18	2	with_certificate	10.1	ocr
01002000	18	2	number_voters	74.1	ocr
01002000	18	2	invalid_votes	0.2	ocr
01002000	19	2	cdu	40.1	ocr
01002000	19	2	fdp	2.0	ocr
01002000	19	2	ssw	0.1	ocr
01002000	19	2	dkp	0.2	ocr
01002000	19	2	gruene	3.6	ocr
01002000	19	2	fp	0.1	ocr
01003000	18	3	without_certificate	90.3	ocr
01003000	18	3	with_certificate	9.7	ocr
01003000	18	3	number_voters	73.7	ocr
01003000	18	3	invalid_votes	0.3	ocr
01003000	19	3	cdu	43.4	ocr
01003000	19	3	fdp	1.6	ocr
01003000	19	3	dkp	0.1	ocr
01003000	19	3	dgl	0.1	ocr
01003000	19	3	gruene	2.8	ocr
01003000	19	3	fp	0.1	ocr
01004000	18	4	without_certificate	91.3	ocr
01004000	18	4	with_certificate	8.7	ocr
01004000	18	4	number_voters	74.2	ocr
01004000	18	4	invalid_votes	0.3	ocr
01004000	19	4	cdu	44.6	ocr
01004000	19	4	fdp	1.4	ocr
01004000	19	4	dkp	0.1	ocr
01004000	19	4	gruene	3.2	ocr
01004000	19	4	fp	0.1	ocr
01051001	18	5	without_certificate	92.6	ocr
01051001	18	5	with_certificate	7.4	ocr
01051001	18	5	number_voters	77.2	ocr
01051001	18	5	invalid_votes	0.2	ocr
01051001	19	5	spd	35.8	ocr
01051001	19	5	fdp	2.5	ocr
01051001	19	5	dkp	0.1	ocr
01051001	19	5	gruene	2.2	ocr
01051002	18	6	without_certificate	93.8	ocr
01051002	18	6	with_certificate	6.2	ocr
01051002	18	6	number_voters	84.0	ocr
01051002	19	6	spd	19.9	ocr
01051002	19	6	fdp	1.5	ocr
01051002	19	6	gruene	6.6	ocr
01051003	18	7	without_certificate	96.5	ocr
01051003	18	7	with_certificate	3.5	ocr
01051003	18	7	number_voters	78.1	ocr
01051003	18	7	invalid_votes	0.8	ocr
