ags	name_reference	source_page_left	source_row	eligible_voters	without_certificate	with_certificate	number_voters	invalid_votes	valid_votes	cdu	spd	fdp	ssw	dkp	dgl	gruene	fp	fsu	einzelbewerber_llsh
01001000	FLENSBURG	18	1	67205	60821	6384	49407	101	49306	18226	20918	723	7893	42	154	1338	0	0	12
01002000	KIEL	18	2	182285	163946	18339	135071	300	134771	53979	72707	2752	154	212	0	4837	71	8	51
01003000	LUEBECK	18	3	170851	154329	16522	125963	381	125582	54497	65319	1950	0	180	63	3455	88	0	30
01004000	NEUMUENSTER	18	4	63110	57629	5481	46804	133	46671	20801	23612	644	0	63	0	1507	31	0	13
01051001	ALBERSDORF	18	5	2588	2396	192	1998	4	1994	1186	713	49	0	2	0	44	0	0	0
01051002	ARKEBEK	18	6	162	152	10	136	0	136	98	27	2	0	0	0	9	0	0	0
01051003	AVERLAK	18	7	483	466	17	377	3	374	167	195	1	0	1	0	10	0	0	0
01051004	BARGENSTEDT	18	8	607	568	39	494	3	491	295	172	14	0	0	0	10	0	0	0
01051005	BARKENHOLM	18	9	160	155	5	136	0	136	91	40	1	0	0	0	4	0	0	0
01051006	BARLT	18	10	664	605	59	520	1	519	302	204	2	0	0	0	11	0	0	0
01051008	BERGEWOEHRDEN	18	11	26	24	2	22	0	22	20	2	0	0	0	0	0	0	0	0
01051010	BRICKELN	18	12	137	127	10	94	1	93	76	17	0	0	0	0	0	0	0	0
01051011	BRUNSBUETTEL, STADT	18	13	9744	8803	941	7368	34	7334	3141	3839	134	0	23	0	197	0	0	0
01051012	BUCHHOLZ	18	14	691	644	47	566	1	565	344	185	11	0	1	0	24	0	0	0
01051013	BUESUM	18	15	4118	3454	664	2828	10	2818	1599	1086	68	0	3	0	62	0	0	0
01051014	BUESUMER DEICHHAUSEN	18	16	253	208	45	186	1	185	80	87	10	0	1	0	7	0	0	0
01051015	BUNSOH	18	17	499	457	42	393	2	391	243	126	16	0	0	0	6	0	0	0
01051016	BURG (DITHMARSCHEN)	18	18	3221	2841	380	2326	5	2321	1209	938	70	0	2	0	102	0	0	0
01051017	BUSENWURTH	18	19	215	197	18	169	1	168	102	61	3	0	0	0	2	0	0	0
01051019	DELLSTEDT	18	20	573	537	36	463	1	462	356	95	4	0	0	0	7	0	0	0
01051020	DELVE	18	21	568	540	28	445	1	444	281	144	10	0	1	0	8	0	0	0
01051021	DIEKHUSEN-FAHRSTEDT	18	22	476	447	29	382	1	381	183	183	1	0	0	0	14	0	0	0
01051022	DINGEN	18	23	467	442	25	362	3	359	174	172	4	0	0	0	9	0	0	0
01051023	DOERPLING	18	24	436	414	22	340	4	336	222	100	3	1	0	0	10	0	0	0
01051024	EDDELAK	18	25	1049	970	79	770	3	767	413	319	12	0	0	0	23	0	0	0
01051026	EGGSTEDT	20	1	574	553	21	466	1	465	300	143	4	0	1	0	17	0	0	0
01051027	ELPERSBUETTEL	20	2	601	564	37	493	1	492	298	175	9	0	0	0	10	0	0	0
01051028	EPENWOEHRDEN	20	3	473	455	18	402	0	402	240	141	11	0	0	0	10	0	0	0
01051030	FEDDERINGEN	20	4	204	187	17	167	0	167	111	50	2	0	0	0	4	0	0	0
01051032	FRESTEDT	20	5	297	280	17	268	1	267	152	103	4	0	0	0	8	0	0	0
01051033	FRIEDRICHSGABEKOOG	20	6	69	64	5	59	0	59	26	27	3	0	0	0	3	0	0	0
01051034	FRIEDRICHSKOOG	20	7	2015	1879	136	1608	10	1598	835	726	15	0	0	0	22	0	0	0
01051035	GAUSHORN	20	8	157	146	11	130	2	128	88	32	1	0	0	0	7	0	0	0
01051036	GLUESING	20	9	95	90	5	82	0	82	74	6	2	0	0	0	0	0	0	0
01051037	GROSSENRADE	20	10	342	319	23	270	2	268	169	73	9	0	2	0	15	0	0	0
01051038	GROVEN	20	11	87	79	8	67	0	67	42	20	0	2	2	0	1	0	0	0
01051039	GUDENDORF	20	12	295	276	19	249	1	248	149	90	6	0	0	0	3	0	0	0
01051040	HAEGEN	20	13	59	53	6	50	0	50	45	1	0	0	0	0	4	0	0	0
01051043	HEDWIGENKOOG	20	14	207	184	23	172	0	172	85	77	4	0	0	0	6	0	0	0
01051044	HEIDE, STADT	20	15	16556	14997	1559	12495	45	12450	6286	5576	302	0	9	0	277	0	0	0
01051045	HELLSCHEN-HERINGSAND-UNTERSCHAAR	20	16	124	120	4	91	1	90	59	26	2	0	0	0	3	0	0	0
01051046	HELSE	20	17	695	643	52	511	2	509	217	274	11	0	1	0	6	0	0	0
01051047	HEMME	20	18	439	401	38	342	0	342	196	126	9	1	1	0	9	0	0	0
01051048	HEMMINGSTEDT	20	19	2343	2198	145	1889	9	1880	894	896	42	0	0	0	48	0	0	0
01051049	HENNSTEDT	20	20	1418	1312	106	1112	3	1109	621	403	56	1	1	0	27	0	0	0
01051050	HILLGROVEN	20	21	86	74	12	60	0	60	40	19	0	0	0	0	1	0	0	0
